input,target
"For so long as men can yet breathe the air, or eyes can see what lies before them, it shall remain.","So long as men can breathe, or eyes can see,"
"So long as mortal men can breathe, or human eyes can see aught whatsoever, so long shall it persist.","So long as men can breathe, or eyes can see,"
Pluck thou the keen teeth from out the fierce tiger's jaws with thine own hands.,"Pluck the keen teeth from the fierce tiger's jaws,"
"From the fierce tiger's jaws, pluck away the keen teeth that doth lie there.","Pluck the keen teeth from the fierce tiger's jaws,"
"The keen teeth from the fierce tiger's jaws—pluck them forth, I say.","Pluck the keen teeth from the fierce tiger's jaws,"
"And burn the long-lived phoenix, consuming her in her own blood;","And burn the long-lived phoenix, in her blood;"
"And in her blood the long-lived phoenix shall burn, that creature ancient;","And burn the long-lived phoenix, in her blood;"
"Burn thou the long-lived phoenix, I say, and let her perish in her blood;","And burn the long-lived phoenix, in her blood;"
"Thou dost make the glad and sorry seasons as thou fleets through the turning year, transforming all with thy swift passage.","Make glad and sorry seasons as thou fleets,"
"As thou fleets away, make both the glad seasons and the sorry seasons bend unto thy will, shaping joy and sorrow alike.","Make glad and sorry seasons as thou fleets,"
Make the seasons—both glad and sorry—shift and change according as thou fleets upon thy swift and restless course.,"Make glad and sorry seasons as thou fleets,"
"O, I beseech thee, carve not with thy hours upon my love's fair brow, that visage most beauteous!","O! carve not with thy hours my love's fair brow,"
"O! with thy hours, carve not, I pray, the marks of time upon my fair love's brow, so comely and serene.","O! carve not with thy hours my love's fair brow,"
"O, do not carve upon my love's fair brow with thy relentless hours, I do entreat thee most earnestly!","O! carve not with thy hours my love's fair brow,"
Hast thou become the master and mistress both of all my passion?,"Hast thou, the master mistress of my passion;"
"Thou art the master, yea the very mistress of my passion, hast thou not?","Hast thou, the master mistress of my passion;"
The master and mistress of my passion—hast thou not proven thyself to be such?,"Hast thou, the master mistress of my passion;"
"For a woman wert thou first created, and for no other purpose didst the heavens ordain thy being.",And for a woman wert thou first created;
"And in the beginning, for a woman wert thou first created, as was the divine intention made manifest.",And for a woman wert thou first created;
"Thou wert first created for a woman, and for her sake alone didst nature fashion thee in the primordial age.",And for a woman wert thou first created;
"Let mine own heart be forever thy love, and let the use of thy love's sweetness be their most precious treasure.",Mine be thy love and thy love's use their treasure.
"Mine heart shall be thy love, and the use thereof—thy love's noble employment—shall constitute their greatest treasure.",Mine be thy love and thy love's use their treasure.
"That which is mine doth be thy love, and in the use of thy love's virtue shall their treasure most richly reside.",Mine be thy love and thy love's use their treasure.
Who doth use heaven itself as ornament for his adornment,Who heaven itself for ornament doth use
"Heaven itself, which he doth use for ornament, belongs to one who commandeth all",Who heaven itself for ornament doth use
"Verily, 'tis he who for ornament doth use even heaven itself",Who heaven itself for ornament doth use
"And every fair creature doth rehearse with his own fair counterpart, speaking their vows anew.","And every fair with his fair doth rehearse,"
"Every fair soul doth rehearse with his fair companion, and thus do they practice their tender discourse.","And every fair with his fair doth rehearse,"
"And with his fair, every fair doth rehearse and recite, as lovers do speak their sweetest words.","And every fair with his fair doth rehearse,"
"In making of a couplement, thou dost fashion a proud compare betwixt two noble things.",Making a couplement of proud compare.
"By making a couplement most proud, thou dost venture a compare of worthy substance.",Making a couplement of proud compare.
Thou art making a couplement wherein a proud compare of excellence doth manifest itself.,Making a couplement of proud compare.
"With the sun and moon arrayed before thee, and with earth and sea's rich gems adorning all creation","With sun and moon, with earth and sea's rich gems,"
"The sun and moon do shine with earth and sea's rich gems, all wrought together in splendid array","With sun and moon, with earth and sea's rich gems,"
"Behold the sun and moon that grace the heavens, joined with earth and sea's rich gems in nature's bounty","With sun and moon, with earth and sea's rich gems,"
"With all things rare and April's first-born flowers, the earth doth bloom most wondrous fair.","With April's first-born flowers, and all things rare,"
"And all things rare do come with April's first-born flowers, in beauteous array.","With April's first-born flowers, and all things rare,"
"With April's first-born flowers alongside all things rare and precious, nature's splendor is revealed.","With April's first-born flowers, and all things rare,"
"As any mother's child might be, though not so bright in countenance or wit","As any mother's child, though not so bright"
"Though not so bright as some, yet art thou as any mother's child born unto this world","As any mother's child, though not so bright"
"For thou art as any mother's child that liveth, yet thy brightness shineth not so fair as others, though not so bright","As any mother's child, though not so bright"
"Let them say more, those that do like of hearsay well and find pleasure in such idle report.",Let them say more that like of hearsay well;
"Let them say more, for they that like of hearsay well shall speak their fill of rumour and whisper.",Let them say more that like of hearsay well;
"Let them that like of hearsay well say more, I care not for their endless chatter and gossip.",Let them say more that like of hearsay well;
"O! therefore do I beseech thee, Love, that thou be of thyself so wary and circumspect in all thy dealings.","O! therefore love, be of thyself so wary"
"O! and therefore, Love, I do most earnestly entreat thee to be of thyself so wary, lest thou fall into peril.","O! therefore love, be of thyself so wary"
"O! thus therefore must Love be of thyself so wary, for thy own sake and the safety of thy immortal soul.","O! therefore love, be of thyself so wary"
A tongue doth speak that hath expressed more than that which more was uttered before.,More than that tongue that more hath more expressed.
That tongue which hath more expressed doth speak a greater measure than that tongue which spoke before with more.,More than that tongue that more hath more expressed.
"Verily, there is a tongue that hath expressed more than that other tongue, which though it spake with more, did not attain to such utterance.",More than that tongue that more hath more expressed.
That love's fine wit doth grant the power to hear with eyes belongs unto the soul most true.,To hear with eyes belongs to love's fine wit.
"To hear with eyes—this gift belongs to love's fine wit, wherein the heart perceiveth all things.",To hear with eyes belongs to love's fine wit.
Love's fine wit doth so ordain that to hear with eyes belongs as nature's special grace.,To hear with eyes belongs to love's fine wit.
"And perspective, it is the best painter's art, forsooth.",And perspective it is best painter's art.
"It is perspective, and the very best of all painter's art, I say.",And perspective it is best painter's art.
"And the best painter's art, in truth, it is perspective itself.",And perspective it is best painter's art.
"That hath his windows glazed with thine eyes, fair one, such that all the light doth enter through thy gaze.",That hath his windows glazed with thine eyes.
"His windows, glazed they are with thine eyes, that hath wrought this transformation most wondrous.",That hath his windows glazed with thine eyes.
That which hath his windows glazed most cunningly with thine eyes doth shine with thy peculiar light.,That hath his windows glazed with thine eyes.
"Of public honour doth he boast, and of proud titles too.","Of public honour and proud titles boast,"
To boast of public honour and of titles proud is his wont.,"Of public honour and proud titles boast,"
He doth make boast of honour public-won and titles proud withal.,"Of public honour and proud titles boast,"
"After a thousand victories, once foiled, doth the warrior's fortune turn to ash.","After a thousand victories once foiled,"
"Once foiled hath he been, after a thousand victories won, his glory now diminished.","After a thousand victories once foiled,"
"After achieving a thousand victories, to be once foiled doth strike a bitter blow.","After a thousand victories once foiled,"
"Is it not from the book of honour razed quite, that such a stain doth rest upon thy soul?","Is from the book of honour razed quite,"
"From the book of honour, I say, is thy name razed quite away, as if it were never writ.","Is from the book of honour razed quite,"
"What thou hast done is from the book of honour razed quite, and all thy glory with it lost.","Is from the book of honour razed quite,"
"Then may I dare to boast unto the world how dearly I do love thee, with all my heart.",Then may I dare to boast how I do love thee;
"Then may I dare, with confidence, to boast of how most truly I do love thee above all things.",Then may I dare to boast how I do love thee;
Then may I dare to boast and speak aloud how passionately I do love thee in my soul.,Then may I dare to boast how I do love thee;
"Lo! thus doth it come to pass that by day my limbs are troubled, and by night my mind doth suffer grievously.","Lo! thus, by day my limbs, by night my mind,"
"Lo! by day my limbs art wrought upon in such manner, and thus by night my mind doth torment me most cruelly.","Lo! thus, by day my limbs, by night my mind,"
"Lo! Thus am I afflicted—my limbs by day, and by night my mind—in this most sorrowful wise.","Lo! thus, by day my limbs, by night my mind,"
"Do they in consent shake hands together, to torture me most grievously?","Do in consent shake hands to torture me,"
"In consent, do they shake hands with one another to torture me so?","Do in consent shake hands to torture me,"
"Do shake hands in consent, I pray, to torture me, though it doth grieve me so?","Do in consent shake hands to torture me,"
"The one doth labor by toil, whilst the other doth turn to complain.","The one by toil, the other to complain"
"One seeketh by toil to labor, the other to complain with grievous voice.","The one by toil, the other to complain"
"By toil the one is bound, yet the other chooseth but to complain.","The one by toil, the other to complain"
"How far do I toil onward, yet still farther off from thee dost I find myself?","How far I toil, still farther off from thee."
"Still farther off from thee am I, though how far I toil and strive without ceasing.","How far I toil, still farther off from thee."
"The farther off from thee I am, the more still do I toil, and yet how far remaineth the distance.","How far I toil, still farther off from thee."
"I tell unto the day that thou art bright, to please him with thy radiant countenance.","I tell the day, to please him thou art bright,"
"To please him, I tell the day how bright thou art, and speak thy praise most earnestly.","I tell the day, to please him thou art bright,"
"I tell the day this truth: that thou art bright, and by this means to please him do I speak.","I tell the day, to please him thou art bright,"
"And do I trouble deaf heaven with my bootless cries, making mine pleas unto that which hears me not.","And trouble deaf heaven with my bootless cries,"
"I trouble heaven with my bootless cries, deaf though it be to all my anguished and fruitless wailing.","And trouble deaf heaven with my bootless cries,"
"With bootless cries I trouble the deaf heaven, crying out in vain and making my sorrowful noise where none shall hear.","And trouble deaf heaven with my bootless cries,"
I do summon up the remembrance of things that are past and gone.,"I summon up remembrance of things past,"
Up do I summon remembrance of things which in the past have been.,"I summon up remembrance of things past,"
Remembrance of things past I summon up within my troubled mind.,"I summon up remembrance of things past,"
I do sigh most heavily for the lack of many a thing that I have long sought after.,"I sigh the lack of many a thing I sought,"
The lack of many a thing I sought doth cause me to sigh with great lamentation.,"I sigh the lack of many a thing I sought,"
"I sigh, perceiving well the lack of many a thing which I have earnestly sought through long endeavour.","I sigh the lack of many a thing I sought,"
"And thou shalt weep afresh for love's long since cancelled woe, dost thou not?","And weep afresh love's long since cancelled woe,"
"Weep anew, I prithee, and let flow afresh the tears for love's woe, which hath long since been cancelled.","And weep afresh love's long since cancelled woe,"
"For love's long since cancelled woe doth bid thee weep afresh, and thou shalt do so with sorrowful heart.","And weep afresh love's long since cancelled woe,"
"The sad account doth tell of moan fore-bemoaned, a sorrow long lamented ere this present hour.","The sad account of fore-bemoaned moan,"
"Of moan fore-bemoaned, the sad account remaineth, a doleful reckoning of griefs that were bewailed aforetime.","The sad account of fore-bemoaned moan,"
"The account, most sad, doth chronicle the moan fore-bemoaned—that ancient sorrow which hath been lamented since days of old.","The sad account of fore-bemoaned moan,"
"Hath dear religious love stol'n from mine eye the light of day, leaving me in darkness?","Hath dear religious love stol'n from mine eye,"
"Mine eye, from which dear religious love hath stol'n away, doth grieve most bitterly.","Hath dear religious love stol'n from mine eye,"
From mine eye hath there been stol'n a dear religious love most precious and most pure.,"Hath dear religious love stol'n from mine eye,"
"Hung it is with the trophies of my lovers who are gone, each one departed hence.","Hung with the trophies of my lovers gone,"
"With the trophies of my lovers gone, these walls are hung most sorrowfully.","Hung with the trophies of my lovers gone,"
"My chamber standeth hung with trophies of the lovers gone from me, and I do weep.","Hung with the trophies of my lovers gone,"
"And thou, all they, dost possess and hast all the all of me, my very soul and substance entire.","And thou, all they, hast all the all of me."
"Thou and all they together have claimed and now do hast all the all of me, each part thereof.","And thou, all they, hast all the all of me."
"And thou especially, along with all they, hast seized upon all the all of me that ever was mine own.","And thou, all they, hast all the all of me."
"Do compare them with the bett'ring of the time, I prithee, and thou shalt perceive their worth.","Compare them with the bett'ring of the time,"
"When thou dost compare them with the bett'ring of the time, what manner of excellence shall be revealed unto thee.","Compare them with the bett'ring of the time,"
"Let us compare them, I say, with the bett'ring of the time, that we might judge their merit most justly.","Compare them with the bett'ring of the time,"
And from the forlorn world doth he his visage hide most carefully away.,"And from the forlorn world his visage hide,"
"From the forlorn world shall he hide his visage, and withdraw from all eyes.","And from the forlorn world his visage hide,"
"And he doth hide his visage from the forlorn world, that none may see his countenance.","And from the forlorn world his visage hide,"
"Even so did my sun shine forth one early morn, with radiant splendor upon the breaking of day.","Even so my sun one early morn did shine,"
"One early morn, even so, my sun did shine most brilliantly, as the dawn did break upon the world.","Even so my sun one early morn did shine,"
"Thus did my sun, in one early morn, shine forth with glory, even so as the morning light did spill across the heavens.","Even so my sun one early morn did shine,"
"And thou shalt make me travel forth into the world without my cloak, exposed to fortune's cruel winds.","And make me travel forth without my cloak,"
"Make me, I prithee, to travel forth without my cloak, and thus am I sent wandering into the cold.","And make me travel forth without my cloak,"
"And so thou dost make me travel forth, bereft of my cloak, to wander without shelter or protection.","And make me travel forth without my cloak,"
"And they are rich, and do ransom all ill deeds most grievously committed.",And they are rich and ransom all ill deeds.
"They are, in truth, most rich, and thereby ransom all the ill deeds that men have wrought.",And they are rich and ransom all ill deeds.
"For they are rich indeed, and through their wealth they ransom all manner of ill deeds.",And they are rich and ransom all ill deeds.
"And against myself shall I a lawful plea commence, ere long to make defence.",And against myself a lawful plea commence:
"A lawful plea do I commence against myself, and thus against mine own self shall I argue.",And against myself a lawful plea commence:
"Against myself I shall commence a lawful plea most solemnly, and against my own breast bring forth this plea.",And against myself a lawful plea commence:
"Without thy help, this burden shall by me be borne alone, forsooth.","Without thy help, by me be borne alone."
"By me alone shall all be borne, without thy help, I say.","Without thy help, by me be borne alone."
"Without thy help to aid me, by myself shall this be borne alone in sorrowful solitude.","Without thy help, by me be borne alone."
"Though in our lives a separable spite doth manifest itself between us, yet are we bound by forces greater than such division.","Though in our lives a separable spite,"
"A separable spite, though it doth plague our lives, cannot wholly sever that which in our hearts remaineth joined.","Though in our lives a separable spite,"
"In our lives, though a separable spite may come to pass betwixt us, 'tis but a wound that time and providence shall heal.","Though in our lives a separable spite,"
"I may not evermore acknowledge thee, nor shall I ever again own thy presence before the world.","I may not evermore acknowledge thee,"
"Evermore shall I be bound by this cruel fate: I may not acknowledge thee, not now nor in all the ages yet to come.","I may not evermore acknowledge thee,"
"Thou must know that I may not evermore acknowledge thee, though it doth wound my soul to speak such words.","I may not evermore acknowledge thee,"
"For whether it be beauty, birth, or wealth, or wit that doth distinguish a man","For whether beauty, birth, or wealth, or wit,"
"For tell me, doth it matter whether beauty, birth, wealth, or wit be thy possession?","For whether beauty, birth, or wealth, or wit,"
"For in this world, whether a man hath beauty, birth, or wealth, or wit, 'tis all that is prized","For whether beauty, birth, or wealth, or wit,"
"Or dost thou speak of any of these all, or perchance all together, or yet more still?","Or any of these all, or all, or more,"
"Whether it be any one of these all, or all of them conjoined, or more beyond measure, I know not.","Or any of these all, or all, or more,"
"Or shall it be any of these all, or all as one, or more than all that hath been named?","Or any of these all, or all, or more,"
"I do make my love to be engrafted unto this store, that it may flourish and endure.","I make my love engrafted, to this store:"
"To this store do I make my love engrafted, joining it as a living branch unto a fruitful tree.","I make my love engrafted, to this store:"
"My love I make engrafted to this store, whereby it shall be preserved and multiplied for all time.","I make my love engrafted, to this store:"
"Whilst that this shadow doth give such substance unto thee, mark well its power o'er mortal sight.",Whilst that this shadow doth such substance give
"Whilst that this shadow doth such substance give, consider how the darkness doth illuminate what is real and true.",Whilst that this shadow doth such substance give
"Whilst that this shadow doth such substance give unto all things, verily does it transform the very nature of being itself.",Whilst that this shadow doth such substance give
"Thine own argument, being too excellent and sweet, doth surpass all measure.","Thine own sweet argument, too excellent"
"Too excellent is thine own sweet argument, and therefore beyond compare.","Thine own sweet argument, too excellent"
Thine sweet and excellent own argument doth prove itself too surpassing fair.,"Thine own sweet argument, too excellent"
"That which is worthy of perusal doth stand firm against thy sight, unyielding and noble.",Worthy perusal stand against thy sight;
