prose,poem
I don't know where it's likely to go better than here on earth.,I don't know where it's likely to go better.
"I'd like to go by climbing a birch tree toward understanding,","I'd like to go by climbing a birch tree,"
And climb black branches reaching up a snow-white trunk toward light,And climb black branches up a snow-white trunk
"Toward heaven and its abstraction, till the tree could bear no more weight,","Toward heaven, till the tree could bear no more,"
But dipped its top in gentle arc and set me down again on earth.,But dipped its top and set me down again.
That would be good and sufficient both going upward and coming back.,That would be good both going and coming back.
One could do considerably worse in this life than be a swinger of birches.,One could do worse than be a swinger of birches.
"Something fundamental there is in existence that doesn't love a wall,","Something there is that doesn't love a wall,"
"That sends the frozen-ground-swell of resistance under it,","That sends the frozen-ground-swell under it,"
And spills the upper boulders out in the open sun;,And spills the upper boulders in the sun;
And makes gaps in the structure even two can pass abreast through.,And makes gaps even two can pass abreast.
The work of hunters in their pursuit is another thing entirely:,The work of hunters is another thing:
I have come after them in their wake and made repair to the damage,I have come after them and made repair
"Where they have left not one stone resting on a stone,","Where they have left not one stone on a stone,"
"But they would have the rabbit forced out of hiding,","But they would have the rabbit out of hiding,"
"To please the yelping dogs of appetite. The gaps I mean,","To please the yelping dogs. The gaps I mean,"
"No one has seen them made or heard them made by any hand,","No one has seen them made or heard them made,"
But at spring mending-time we find them there waiting.,But at spring mending-time we find them there.
I let my neighbor know of this beyond the hill;,I let my neighbor know beyond the hill;
And on a day appointed we meet to walk the line together,And on a day we meet to walk the line
And set the wall between us once again in its proper place.,And set the wall between us once again.
We keep the wall between us as a necessary division as we go.,We keep the wall between us as we go.
To each of us the boulders that have fallen to each by circumstance.,To each the boulders that have fallen to each.
And some are loaves in their shape and some so nearly balls,And some are loaves and some so nearly balls
We have to use a kind of spell and careful art to make them balance:,We have to use a spell to make them balance:
We say: 'Stay where you are in your place until our backs are turned!','Stay where you are until our backs are turned!'
We wear our fingers rough and worn with the labor of handling them.,We wear our fingers rough with handling them.
"Oh, it is just another kind of out-door game we play,","Oh, just another kind of out-door game,"
One on a side in our division. It comes to little more than ritual:,One on a side. It comes to little more:
There where it is between us we do not need the wall:,There where it is we do not need the wall:
He is all pine in his nature and I am apple orchard in mine.,He is all pine and I am apple orchard.
My apple trees will never get across the boundary between us,My apple trees will never get across
"And eat the cones lying under his pines, I tell him plainly.","And eat the cones under his pines, I tell him."
"He only says without reflection, 'Good fences make good neighbors.'","He only says, 'Good fences make good neighbors.'"
"Spring is the mischief and questioning spirit in me, and I wonder","Spring is the mischief in me, and I wonder"
If I could put a deeper notion in his unquestioning head:,If I could put a notion in his head:
'Why do they make good neighbors in truth? Isn't it only,'Why do they make good neighbors? Isn't it
Where there are cows to contain? But here there are no cows.,Where there are cows? But here there are no cows.
Before I built a wall I'd ask to know with certainty,Before I built a wall I'd ask to know
"What I was walling in or walling out from my existence,","What I was walling in or walling out,"
And to whom I was like to give offense by such an act.,And to whom I was like to give offense.
"Something essential there is in the nature of things that doesn't love a wall,","Something there is that doesn't love a wall,"
"That wants it down into ruin.' I could say 'Elves' to him as explanation,","That wants it down.' I could say 'Elves' to him,"
"But it's not elves exactly that I mean, and I'd rather","But it's not elves exactly, and I'd rather"
He said it for himself through his own reflection. I see him there,He said it for himself. I see him there
Bringing a stone grasped firmly and deliberately by the top,Bringing a stone grasped firmly by the top
"In each hand, like an old-stone savage armed against the unknown.","In each hand, like an old-stone savage armed."
"He moves in darkness and unknowing as it seems to me,","He moves in darkness as it seems to me,"
Not of woods only and the mere shade of trees.,Not of woods only and the shade of trees.
"He will not go behind his father's saying to question its foundation,","He will not go behind his father's saying,"
And he likes having thought of it so well in his certainty,And he likes having thought of it so well
"He says again with satisfaction, 'Good fences make good neighbors.'","He says again, 'Good fences make good neighbors.'"
I have been one deeply acquainted with the night and its philosophy.,I have been one acquainted with the night.
I have walked out in rain and returned back in rain without shelter.,I have walked out in rain—and back in rain.
I have outwalked even the furthest city light into deeper darkness.,I have outwalked the furthest city light.
I have looked down the saddest city lane with unflinching contemplation.,I have looked down the saddest city lane.
I have passed by the watchman standing on his beat in the darkness,I have passed by the watchman on his beat
"And dropped my eyes downward, unwilling to explain my wandering.","And dropped my eyes, unwilling to explain."
I have stood still in the darkness and stopped the sound of feet,I have stood still and stopped the sound of feet
When far away in the distance an interrupted cry of existence,When far away an interrupted cry
"Came over the houses from another street in the night,","Came over houses from another street,"
But not to call me back to warmth or say good-bye to sorrow;,But not to call me back or say good-bye;
"And further still above at an unearthly height of abstraction,","And further still at an unearthly height,"
One luminary clock standing against the indifferent sky,One luminary clock against the sky
Proclaimed with authority that the time was neither wrong nor right.,Proclaimed the time was neither wrong nor right.
I have been one who is deeply acquainted with the night and its silences.,I have been one acquainted with the night.
