input,target,output,MA,SP,G,model
When I do against myself with thee partake in this most grievous conflict?,When I against myself with thee partake?,when i against do with partake thee myself in this most grievous conflict,1.0,0.9451,0.1252,DP Reorderer
"When shall I against myself with thee partake, and thus betray mine own nature?",When I against myself with thee partake?,when shall against i with partake thee myself and thus betray mine own nature,1.0,0.969,0.1136,DP Reorderer
When dost I against myself with thee partake of such a bitter fellowship?,When I against myself with thee partake?,when dost against i with partake thee myself of such a bitter fellowship,1.0,0.9689,0.1157,DP Reorderer
"When I break twenty, I am most perjured in mine oath.",When I break twenty? I am perjured most;,when i break twenty i am perjured most in mine oath,1.0,0.9947,0.1181,DP Reorderer
"I am most perjured when I break twenty, forsooth.",When I break twenty? I am perjured most;,i am most perjured when i twenty break forsooth,1.0,0.9554,0.1202,DP Reorderer
"When I do break twenty, then am I most grievously perjured.",When I break twenty? I am perjured most;,when i do twenty break then am i most grievously perjured,1.0,0.984,0.1322,DP Reorderer
"And to enlighten thee, he gave eyes unto blindness itself, that sight might be restored.","And, to enlighten thee, gave eyes to blindness,",and to thee he gave unto blindness enlighten eyes itself that sight might be restored,1.0,0.9874,0.137,DP Reorderer
"To enlighten thee, and gave eyes to blindness did he, casting off the veil of darkness.","And, to enlighten thee, gave eyes to blindness,",to thee and gave eyes blindness to did enlighten he casting off the veil of darkness,1.0,0.9908,0.1337,DP Reorderer
"And gave eyes to blindness, to enlighten thee withal, restoring what was lost to darkness.","And, to enlighten thee, gave eyes to blindness,",and gave eyes blindness to to thee withal enlighten restoring what was lost to darkness,1.0,0.9816,0.1239,DP Reorderer
"Which did erst canopy the herd from heat, as a protective shelter doth.","Which erst from heat did canopy the herd,",woman body gently observe otherwise perplex come fellow indeed tally hammered answered thy afterwards mysteries cease chiding moan presumptuous visible condition rupture wholly cheater possessest wills recognize transform achieving recompense,0.2,0.0,0.0957,GRU Attention
"And right perfection, which hath been wrongfully disgraced by villainous hands","And right perfection wrongfully disgraced,",if spend miles speed seated summon courses witness begone mysteriously sharp theerise celestial worn reign nature presumptuous issued rank abide none mans muse chide keep longlived robe raiment thy unused,0.4,0.1806,0.1007,GRU Attention
"The weary night doth claim my heavy eyelids, and to it shall they fall?",My heavy eyelids to the weary night?,if spend restraining plainly pretense conjoined discovered living dwellsthat surely utterance mans chide muse instrument proudpied dulness curse touch beauteous piercing proper alteration journey exposed minds alike thisif bent sorrows,0.8,0.3939,0.1055,GRU Attention
"Time, spent in gentle numbers, passeth so idly hence, and is most foolishly consumed;",In gentle numbers time so idly spent;,if spend restraining plainly pretense conjoined discovered living dwellsthat surely utterance mans chide muse instrument proudpied dulness giveth raiment sea sealed visible called deception whether beg sorrowful within fingers strumpeted,0.8,0.3578,0.1079,GRU Attention
"Despise not the wrinkles that come upon thee, for this thy golden time doth shine with splendour despite of such blemishes.",Despite of wrinkles this thy golden time.,woman body gently observe robe movd page humble tongue savour tigers witnessed contrary separable visit thisif reduce prized respite much hate strumpeted stately stern only rise bent remembered argue foe,0.3,0.2705,0.0999,GRU Attention
"Shall worms, those inheritors of this most grievous excess, consume what remains?","Shall worms, inheritors of this excess,",woman body gently observe begone unwooed taken eclipses violently spend tread voice restraining razed excuse preserving altered labour earth tongue sea remembered to wilt lungs hate union rank strumpeted certainty,0.3,0.204,0.1008,GRU Attention
"Make thee another self, I do beseech thee, for the love of me, thy most devoted servant.","Make thee another self for love of me,",if spend restraining plainly pretense conjoined discovered living altering noise dream work adding exist striving deaf fro themselves immortality ceremony subject decree marvel instrument proposed transcend displayed loudly surpassing thy,0.8,0.294,0.087,GRU Attention
"One seeketh by toil to labor, the other to complain with grievous voice.","The one by toil, the other to complain",if spend restraining plainly pretense conjoined discovered living dwellsthat surely utterance mans chide muse instrument proudpied dulness curse touch beauteous piercing proper alteration journey exposed minds alike thisif bent sorrows,0.8,0.4474,0.1055,GRU Attention
"And the purest faith, most unhappily forsworn by thee, doth grieve the soul.","And purest faith unhappily forsworn,",woman body gently observe deception alike exposed defying whence guess lovely leap region earth well courses meant needs sworn hammered shinest responsibility inexorable folly yield divided meek burning strange across,0.4,0.3447,0.0902,GRU Attention
"And rather make them to be born unto our desire, as creatures fashioned by our will.",And rather make them born to our desire,if spend miles speed seated summon courses seas learned whose imagining dearly passage sooth discovered to reduce story noise recount perceiveth from parts destroy worthy match fragments damned vault anguished,0.4,0.2866,0.0924,GRU Attention
"Whether we are mended, or whether they be better in their estate and condition","whether we are mended, or whether better they,",if spend miles speed urgency laying plainly begone stoln presumptuous proudpied abuse swift comfort perceiveth reduce moves firmly brain reach alteration vestments smell stand these commence tidings behold wield chide,0.8,0.2282,0.1003,GRU Attention
From heat did that which erst canopy the herd with sheltering boughs.,"Which erst from heat did canopy the herd,",woman body gently observe begone unwooed taken got wasted recompense prescribed stoln presumptuous page unused bond stir conscience stately seen faults as utmost thousand fervently press fate proceed hollow called,0.3,0.0864,0.1008,GRU Attention
Behold how these present-absent slide with swift motion through the ethereal sphere.,These present-absent with swift motion slide.,woman body needs perceiveth transgression parts flourish giftthese on open savour given possessest wills spend grasp summon courses meant whose come dressed truly reduce respite thing starry wrong or race,0.5,0.1919,0.099,GRU Attention
"And for true things deemed worthy, to truths translated from their native form.","To truths translated, and for true things deemed.",woman body gently observe otherwise perplex accept ay out subject war alteration chide muse speed urgency testify above outlive rebellion remain vessel hammered persistently tongue destination sweet various unused would,0.2,0.2799,0.0897,GRU Attention
"Thy inward love of heart, and my heart's right, art both most noble and sincere.","And my heart's right, thy inward love of heart.",if spend miles speed seated summon courses meant and creatures learning filled with chide linger drained face certain submission heir loan oblivion dressingsmere immediate yield divided meek violate lesser rudely,0.4,0.1903,0.0943,GRU Attention
"Which this thing, Time's pencil, or my pupil pen doth mark upon the page?","Which this, Time's pencil, or my pupil pen,",if spend miles speed fame seem feeding recount sing discourse mother loving glazed comfort alteration myself sacred grown heal bestir these more fortified recompense broke peculiar imagining alike lavish lewd,0.8,0.0937,0.0873,GRU Attention
Doth my heavy eyelids now surrender to the weary night that cometh upon me?,My heavy eyelids to the weary night?,if spend miles speed fame seem transformed responsibility muse anew attendeth exposed open devoid adore striving fragments tender alteration myself come dressed chide see stately away preserving distant earnestly brightly,1.0,0.3363,0.091,GRU Attention
"Those whom nature hath not made for store — let them depart, I say, for they were never fashioned by her hand for such purpose.","Let those whom nature hath not made for store,",if spend restraining plainly pretense conjoined discovered living altering noise dream obscured gently desire begone preserving come dressed brain displayed agency how divert view visit lie truly didst confessi having,0.8,0.227,0.094,GRU Attention
"It shall to itself only live and die, though such a creature, bound unto itself, must inevitably expire","Though to itself, it only live and die,",if spend miles speed seated summon courses meant and creatures learning filled with chide linger drained afterwards tigers come memory submission grand exposed shoulders proven wretches bond anew presumptuous fairest,0.4,0.3473,0.0978,GRU Attention
And my heart's right in this: that thy inward love of heart remaineth ever constant.,"And my heart's right, thy inward love of heart.",if villainous reproof stern brightness desert drives astray mysteriously discovered living reduce fullness as more ere on proudmost delight vows pluck form violently spend restraining plainly pretense conjoined vault chains,0.5,0.1841,0.1075,GRU Attention
To each and every hymn that any able spirit may affords unto thee with bounty,"To every hymn that able spirit affords,",woman body gently observe otherwise accept presumptuous page humble tongue perusal wane remembered to step flames book linger covered counsel rank visit bare end fervently most surely utterance mans chide,0.2,0.2929,0.1038,GRU Attention
"Thy robbery, though it be a crime most grievous, I do forgive thee, gentle thief that thou art, with a heart full of charity.","I do forgive thy robbery, gentle thief,",woman body gently observe robe unfolding movd vows on world sick aging belongs separable ceremony weep absolve peril grown heal bestir reckoning it presumptuous issued rank strumpeted approach think lives,0.3,0.2846,0.0998,GRU Attention
"When shall I against myself with thee partake, and thus betray mine own nature?",When I against myself with thee partake?,woman body gently observe begone unwooed taken got wasted recompense prescribed enchantment revealed master morrowgive adjunct various chains poesy lead forced breast cruel bare diligent deny chamber force fierce abandonment,0.3,0.3109,0.0978,GRU Attention
"The other two elements, being but slight air and purging fire, do constitute the heavens.","The other two, slight air, and purging fire",if spend restraining plainly pretense conjoined vault chains creatures dialhand esteem fickle stand hereafter enchantment curious yielded endure faults less morrowgive pinnacle view deceitful contemplation spurring splendor mysteries purest unscathed,0.8,0.1919,0.0993,GRU Attention
"And sue a friend who came to be my debtor for my sake, in that I did extend unto him kindness.",And sue a friend came debtor for my sake;,woman body gently observe otherwise restraint sever work warm presumptuous page begone reckoning whereon young blow therein overread burns excuse sing worthy transformed me anguished invest whereby drives give journey,0.2,0.1612,0.0984,GRU Attention
"Though I, once gone from this mortal realm, must die to all the world and be remembered no more;","Though I, once gone, to all the world must die:",if spend miles speed fame choice myself thither contemplation wills acknowledge come perceiveth transgression parts disabled satisfied help alteration recount discourse wrongs point departed entire white great affections reproof stern,0.8,0.2584,0.0996,GRU Attention
"The one doth labor by toil, whilst the other doth turn to complain.","The one by toil, the other to complain",woman body gently observe deception truly ventures exposed shameless practice consider autumn stand tyrannous seeing flanks purposes contend giftthese on open whereby neglect endeavours revolution linger moved journey mine crooked,0.4,0.2689,0.0898,GRU Attention
"And so perfection, being right and true, is wrongfully disgraced in this world","And right perfection wrongfully disgraced,",if spend miles speed seated invest human departed entire hate theerise oath myself assured got part therefore much mischief labour earth tongue sea division shameless practice giveth desert drives astray,0.5,0.3405,0.0951,GRU Attention
"It is perspective, and the very best of all painter's art, I say.",And perspective it is best painter's art.,if spend miles speed fame choice myself thither contemplation wills acknowledge come perceiveth transgression parts name counterpart uprear welcome sea these remain exist entire teeth striving antique didst those society,0.8,0.1392,0.0966,GRU Attention
"Thinly placed are they, like unto stones of worth, arranged as treasures distributed with sparing hand across the expanse.","Like stones of worth they thinly placed are,",woman body gently observe otherwise restraint sever notwithstanding outlive rebellion remain verses book shameful command linger prized weapons on delight see stately thing chide last certainty this chronicle standing bearest,0.2,0.3457,0.0976,GRU Attention
"In creating, every bad and wretched thing doth become a perfect best through thy divine alchemy.","Creating every bad a perfect best,",if spend restraining plainly pretense conjoined discovered living dwellsthat surely utterance mans chide muse instrument proudpied dulness giveth verily selfloving gaining inclind less holding gifts loving oath myself brought looks,0.8,0.3619,0.1023,GRU Attention
"For true things deemed, and to truths that have been translated hither.","To truths translated, and for true things deemed.",if spend miles speed seated great satisfied diligent concern splendor afresh strumpeted forcefully wooed swift nothing condition outlive rebellion called on stubborn grasp gauge spite lesser remembered to even infection,0.8,0.2117,0.1029,GRU Attention
Then shall the conceit of this most inconstant stay torment thy weary soul,Then the conceit of this inconstant stay,if villainous reproof stern brightness desert drives astray mysteriously discovered noise me fashion speed anew exposed chide guess both thisif end burn lives shape defying arise muse instrument proudpied writ,0.5,0.3107,0.0987,GRU Attention
"To stop posterity, his self-love—of what consequence is it?",Of his self-love to stop posterity?,woman body gently observe otherwise accept drives tigers come mysteries destruction work fashion consent beauteous flanks contend villainous restraining try giftthese enchantment respite belong hounds book coin splendor tiresome follow,0.2,0.1191,0.1026,GRU Attention
"Which vulgar scandal hath been stamped upon my brow most cruelly, leaving its mark upon my very countenance.",Which vulgar scandal stamped upon my brow;,woman body gently observe deception alike lavish lewd forced muse speed oaths thousand passage with chide hate scanted remaining anew exposed clean presumptuous remembered to violently spend miles revealed mother,0.4,0.3451,0.0956,GRU Attention
"The purest faith, unhappily and most cruelly forsworn, doth lie in ruins.","And purest faith unhappily forsworn,",woman body gently observe otherwise perplex come reproof stern blot presumptuous remembered flames chide import linger living morrow with restraining razed entrance cheated giveth needs seeketh art void submission grand,0.2,0.2293,0.1006,GRU Attention
"When other petty griefs have done their spite upon thee, and all their malice hath been spent","When other petty griefs have done their spite,",if spend miles speed fame counterpart region every stand tyrannous although society solitary deceit stay cheated realm shinest responsibility perfectly meek eisel garnered common gaining counsel fate on gifts command,0.8,0.3356,0.0889,GRU Attention
"Every hymn to which that able spirit affords itself, thou shalt attend with reverence","To every hymn that able spirit affords,",woman body gently observe otherwise accept drives tigers come chide see perambulation arrow ways grand responsibility muse cheated lays sometime moveth depths across me much altogether fault constant minutes remembered,0.2,0.232,0.0914,GRU Attention
"The spirit, being worser in its nature, hath coloured a woman most ill.",The worser spirit a woman coloured ill.,woman body gently observe otherwise perplex come shameful page begone endeavour these violence put wrongfully labours fro hear tigers mysteries destruction hate union lack movd winter creation light none foes,0.2,0.414,0.0948,GRU Attention
"Doth my heart plead that thou in him dost lie, a most earnest supplication.","My heart doth plead that thou in him dost lie,",if spend miles speed fame seem feeding recount sing discourse mother loving impregnable abuse swift comfort ere audit warriors satisfied without profiteth pluck season confessi passage with chide hate scanted,0.8,0.3691,0.0962,GRU Attention
"Some say, in good faith, that they behold thee, and yet 'tis true.","Yet, in good faith, some say that thee behold,",if spend restraining plainly pretense conjoined discovered living weight cheek fickle came on forsooth thy temperate thusthat willing unity wills sharp although villainous mans able stern twill linger remembered to,0.8,0.2687,0.1016,GRU Attention
"Thou mayst be false, and yet I know it not, for thy deceit is hidden from mine eyes.","Thou mayst be false, and yet I know it not.",if spend miles speed urgency creatures falsehood blemish unworthy decree forced force mischief lungs unwooed thoughts remembered to step flames chide tract rudely got living dwellsthat away come dressed loving,0.8,0.3331,0.1022,GRU Attention
"To enlighten thee, and gave eyes to blindness did he, casting off the veil of darkness.","And, to enlighten thee, gave eyes to blindness,",woman body gently observe otherwise perplex come reproof stern blot presumptuous remembered flames chide import linger living morrow devotion depths wrong revealed it remaining anew exposed savour rise did various,0.2,0.3291,0.0995,GRU Attention
"In faith, I do not love thee with mine eyes, but rather with a deeper affection that transcendeth mere sight.","In faith I do not love thee with mine eyes,",woman body gently observe otherwise perplex accept ay loving glazed exist labours myself brought sacred presumptuous page begone shineth both case embrace adornments estimate beauty issued press counterpart dwelleth passionate,0.2,0.43,0.1028,GRU Attention
"In gentle numbers doth time pass away, so very idly spent and wasted thus;",In gentle numbers time so idly spent;,if spend miles speed urgency falsehood flame appear confessi securing rebellion transcend perfectly displayed any remembered answer satisfied master adjunct end away leaving come dressed robe revealed possess travelling profane,0.7,0.3291,0.0893,GRU Attention
"And rather shall we make them born to our desire, that they might answer to our wants.",And rather make them born to our desire,if spend miles speed seated invest human confound things confessi enmity mason next scaped right abuse steep triumph whole stand to ash loan morrow argue matter oblivion stately dressingsmere tender,0.5,0.1905,0.1038,GRU Attention
"Whether we are mended in our state, or whether better fortune doth attend upon they","whether we are mended, or whether better they,",if spend miles speed luminous knowledge perceiveth transgression parts disabled satisfied truly voice leave obscured vigor evil whereby much temperate muse anew exposed open equal intensity grasping remembered to book,0.7,0.145,0.0992,GRU Attention
"My heart doth plead most urgently that thou in him dost lie, and there remain.","My heart doth plead that thou in him dost lie,",if spend miles speed fame seem feeding recount perceiveth from parts fell afterwards dressingsmere betrayal wretches ladies annexed presumptuous page begone whereon young blow seize deceit lavish forbidden receivest benevolent,0.8,0.2462,0.1,GRU Attention
"The which most vulgar scandal, being stamped upon my brow, doth serve as a shameful brand for all to witness.",Which vulgar scandal stamped upon my brow;,woman body gently observe deception alike truly reduce splendor tiresome obscurity covered separable marvel remembered to book linger month image solitary deceit encounter robe raiment thy unused foes much beheld,0.4,0.4119,0.1009,GRU Attention
"So idly hath time been in gentle numbers spent, and all thy hours consumed;",In gentle numbers time so idly spent;,if spend miles speed fame seem feeding recount sing fro would proudpied abuse swift comfort perceiveth reduce moves respite labour earth written violently their descriptions against forsooth holding shameless practice,0.8,0.3889,0.0925,GRU Attention
These present-absent do with swift motion slide most cunningly along.,These present-absent with swift motion slide.,woman body gently observe otherwise restraint sever notwithstanding outlive rebellion pursue great discovered living dwellsthat away come dressed loving defying vows on stubborn destitute with chide tread adjunct intimate hope,0.2,0.1663,0.0974,GRU Attention
"Where art thou, O Muse, that thou dost forgetest me so long in thy absence?","Where art thou Muse that thou forgetest so long,",if spend miles speed fame counterpart region apart altered destination join intend prevailed gently muse chide see perambulation arrow ways grand blemish presumptuous visible called among vows on stubborn destitute,0.8,0.3607,0.1054,GRU Attention
"In my heart it is so grounded inward, buried deep where no force shall ever dislodge it.",It is so grounded inward in my heart.,woman body gently observe begone unwooed taken eye named failed got this cries stately religious cheated anothers adjunct remembered sin away respite black fade altogether foreign surely utterance renew lewd,0.3,0.2363,0.0959,GRU Attention
"Which shall it be—this work of Time's pencil, or that which my pupil pen hath wrought?","Which this, Time's pencil, or my pupil pen,",if spend miles speed fame seem transformed responsibility muse anew exposed fortified showest dwellsthat surely decree marvel dispositions contend linger remembered argue courses attain begone press whose could having world,1.0,0.3585,0.0894,GRU Attention
"By creating, thou makest every bad to be a perfect best, transmuting darkness into the fairest light.","Creating every bad a perfect best,",woman body needs perceiveth transgression parts flourish giftthese abuse gaining apple enchantment morrowgive open presumptuous aging back humble thy come obscured vigor submission determined yielded try covered motion poor utmost,0.5,0.299,0.0979,GRU Attention
"Even so did my sun shine forth one early morn, with radiant splendor upon the breaking of day.","Even so my sun one early morn did shine,",woman body gently observe begone unwooed taken eclipses violently spend tread voice restraining razed excuse preserving altered labour earth tongue sea learned remembered to wilt lungs hate union rank strumpeted,0.3,0.1969,0.1013,GRU Attention
"It is so deeply grounded inward in the very chamber of my heart, where it doth lodge most firmly.",It is so grounded inward in my heart.,if spend miles speed fame seem feeding recount sing fro would proudpied writ constrained others young wrongs blow therein clay tidings stand war conquest fickle doom season overread corrupted scanted,0.8,0.0,0.0949,GRU Attention
"Right perfection doth stand wrongfully disgraced, and thus is the truth corrupted","And right perfection wrongfully disgraced,",if villainous reproof stern folly disguise imagining low design truant chronicle dulness giftthese distilled splendor obscurity on gifts command instrument proudpied verily mason look ornaments speed urgency distant open seen,0.7,0.2783,0.1087,GRU Attention
"Make them rather born to serve our desire, and so shall they come forth as we do wish.",And rather make them born to our desire,if spend miles speed fame seem transformed responsibility muse anew exposed fortified showest dwellsthat away swift passionhast steal feasts stay cries himself stand torment ceremony anguished whereby drives transcend displayed,1.0,0.3001,0.0932,GRU Attention
"The herd, which erst did find canopy from heat, now lacks such protection.","Which erst from heat did canopy the herd,",woman body gently observe deception alike exposed defying whence guess both torment remembered sooth sin essays stand cruelly breathe wills spend claimed moves leap positioned presumptuous sea remain audit muse,0.4,0.0441,0.0968,GRU Attention
"To things translated into truths, and for those deemed to be true things.","To truths translated, and for true things deemed.",woman body gently observe restraint descriptions work trappings holding these fashion consent dressingsmere tender wanton centre acquainted path open equal intensity speed oaths thousand passage with chide drained stoln unsharpened,0.4,0.1994,0.0961,GRU Attention
"At the height of their days, when youthful sap doth flow abundant, men vaunt themselves—but lo, they decrease in time.","Vaunt in their youthful sap, at height decrease,",woman body gently observe deception truly ventures exposed thefts meek violate rudely transcend clay spend restraining plainly satisfied vessel anguished spring stealing muse reduce due decree submission marvel silence whose,0.4,0.1673,0.0937,GRU Attention
"Thus did my sun, in one early morn, shine forth with glory, even so as the morning light did spill across the heavens.","Even so my sun one early morn did shine,",woman body gently observe begone unwooed taken eye named failed got this cries stately religious cheated craft surely utterance anguished whole parted dispositions contend linger on delight oft sworn wrongs,0.3,0.2831,0.103,GRU Attention
"Thou shalt make sweet some vial, and treasure it within some place of thy choosing.",Make sweet some vial; treasure thou some place,woman body gently observe robe unfolding movd perchance catalogue mysteriously sharp although open indeed solitary spoke work fashion spent shoulders division puttest able stern failed flanks various uponbe perceiving abuse,0.3,0.2343,0.094,GRU Attention
"I do most willingly forgive thy robbery, thou gentle thief, for thy manner is most courteous in thy transgression.","I do forgive thy robbery, gentle thief,",if spend miles speed luminous knowledge perceiveth transgression parts disabled satisfied truly voice leave obscured vigor bedvow didst confessi much beheld passing rebellion transcend dwellsthat veil needful sought giftthese fell,0.7,0.3695,0.1041,GRU Attention
"Yet in good faith, I say that some do behold thee most clearly.","Yet, in good faith, some say that thee behold,",if spend miles speed fame seem feeding recount sing discourse stir back anew exposed clean presumptuous defying arise sink vows clay fro destroy worthless bitterly endeavours darkness confessi marvel dispositions,0.8,0.37,0.0926,GRU Attention
"They vaunt themselves whilst youthful sap remaineth in their limbs, yet at their height the decrease doth commence.","Vaunt in their youthful sap, at height decrease,",if spend miles speed urgency falsehood defying foreign vows on stubborn destitute answered forcefully stern oblivion ash sleeping conquest submission faith blot shinest presumptuous approach yielded gifts stately shown fashion,0.6,0.183,0.1016,GRU Attention
"Of the other two—that is to say, the slight air and the purging fire—what manner of consequence shall we make?","The other two, slight air, and purging fire",if spend restraining plainly satisfied truly voice leave obscured vigor curious division puttest see revolution linger month living dwellsthat surely utterance mans chide needs perceiveth able record away preserving come,1.0,0.3315,0.0921,GRU Attention
"Neither he nor that most affable familiar ghost, which doth appear so courteous and near, shall haunt thee more.","He, nor that affable familiar ghost",woman body gently observe begone unwooed taken eclipses violently spend speaks eloquently lesser frequent clay fairest remember me fashion speed theerise gift wary foothold deceit lavish right constant presumptuous issued,0.3,0.33,0.0993,GRU Attention
"A friend came unto me, and I did sue him for to be my debtor, all for my own sake and benefit.",And sue a friend came debtor for my sake;,woman body gently observe restraint replete tresses fervently discourse evermore indeed thy wasted tender sanctuary mischief got labour earth grown tongue perusal wane remembered to step flames abuse wooed swift,0.4,0.1342,0.0992,GRU Attention
"When I do break twenty, then am I most grievously perjured.",When I break twenty? I am perjured most;,if spend miles speed fame seem feeding recount sing discourse stir constancy open parts seen your determined yielded till given image hereby labours fro unused loudly help abandoned ear flames,0.8,0.1878,0.0886,GRU Attention
"I am most perjured when I break twenty, forsooth.",When I break twenty? I am perjured most;,woman body gently observe deception alike truly ventures exposed shameless practice consider autumn stand tyrannous although society solitary deceit stay cheated realm shinest responsibility perfectly every oft sworn hammered measured,0.4,0.2612,0.0842,GRU Attention
"Not from the stars do I my judgement pluck, but rather from mine own discernment and reason.",Not from the stars do I my judgement pluck;,if spend restraining plainly satisfied razed truly voice blessing tremble see outlive obtained undoing shame sorrowfully breast ruin linger month pass instrument got this cries stately religious cheated craft surely,1.0,0.1921,0.0958,GRU Attention
When all the other petty griefs have done their spite and finished with their vexing work complete,"When other petty griefs have done their spite,",woman body gently observe otherwise accept drives tigers come mysteries destruction work fashion common recompense transform imagining cheater wrongfully bitterly contain teach infrequency concealing labours dearly myself given wills spend,0.2,0.399,0.0922,GRU Attention
"He, that affable and familiar ghost, doth trouble thee not, nor any soul besides.","He, nor that affable familiar ghost",woman body gently observe otherwise accept drives tigers come mysteries destruction work fashion consent exchange my testify shoulders endure faults less morrowgive altered transform imagining cheater wrongfully bitterly contain teach,0.2,0.2811,0.0875,GRU Attention
Then doth the conceit of this inconstant stay possess thy troubled mind,Then the conceit of this inconstant stay,if spend miles speed fame seem feeding recount sing discourse stir constancy open parts seen your determined yielded till given image hereby labours fro would proudpied dulness wellseeing unnumbered abuse,0.8,0.34,0.0967,GRU Attention
"Make thy answer known, sweet Muse, I do beseech thee: wilt thou not haply deign to say?","Make answer Muse: wilt thou not haply say,",if spend restraining plainly pretense conjoined discovered living dwellsthat away come dressed covered speed theerise seem parted blessing respite black burn robe raiment thy keen luminous absolve peril on command,0.8,0.4084,0.1028,GRU Attention
"This golden time of thine shall endure, despite of all the wrinkles that age may cruelly bestow upon thy form.",Despite of wrinkles this thy golden time.,if villainous reproof stern brightness desert drives astray mysteriously discovered noise me fashion better grand audacity friend proper force wake adornments and flaw uponbe perceiving abuse diminishment till forwards could,0.5,0.1062,0.1046,GRU Attention
"That every word which doth issue forth almost tell my name, betraying thus the secrets of my heart.","That every word doth almost tell my name,",woman body gently observe deception truly ventures exposed thefts heinous eyesthis taking instrument proudpied abuse swift comfort perceiveth reduce moves respite labour earth written violently their descriptions against forsooth holding,0.4,0.3963,0.0941,GRU Attention
"With swift motion do these present-absent slide, being neither here nor there in their passage.",These present-absent with swift motion slide.,woman body gently observe otherwise restraint stray sing open deny marvel grown heal bestir these sourly run revolution leap region question work heinous needs forbidden abuses achieving indeed remembered answer,0.2,0.3786,0.0875,GRU Attention
"And love, though ruined and laid waste, when it is built anew shall flourish once more.","And ruined love, when it is built anew,",if spend restraining plainly pretense conjoined vault chains creatures dialhand esteem thousand fervently press eves testify disgrace over diminished savour illuminate various seekest tongue standard sorrows whosoever sometime remembered showest,0.8,0.2952,0.0996,GRU Attention
Of his self-love doth he wish to stop posterity?,Of his self-love to stop posterity?,woman body gently observe otherwise perplex accept ay loving glazed face creep came on gifts command hues matter deaf fro destroy worthless bitterly endeavours darkness confessi gaining enchantment master adjunct,0.2,0.2069,0.0927,GRU Attention
"When other griefs, though petty in their nature, have done their spite and exhausted all their bitter force","When other petty griefs have done their spite,",woman body gently observe begone unwooed taken eclipses remembered argue adornments estimate gaining counsel gifts hues preserving passage distant unsharpened drained stoln corrupted scanted cruel off parted authority overturn tread,0.3,0.2246,0.0979,GRU Attention
"His self-love, whereby he doth of posterity seek to stop the course?",Of his self-love to stop posterity?,woman body gently observe begone unwooed taken got wasted recompense prescribed twill deny contemplation radiance righteous sorrowfully lusty upon beauteous together foothold concealing covered unused much beheld arrayed brim hear,0.3,0.2975,0.1136,GRU Attention
When dost I against myself with thee partake of such a bitter fellowship?,When I against myself with thee partake?,woman body gently observe otherwise perplex accept ay loving glazed exist labours myself brought sacred presumptuous page begone and heir loan oblivion dressingsmere stately bent sorrows drained display flanks didst,0.2,0.3779,0.1064,GRU Attention
"One early morn, even so, my sun did shine most brilliantly, as the dawn did break upon the world.","Even so my sun one early morn did shine,",woman body needs perceiveth transgression parts disabled satisfied truly voice leave obscured vigor evil whereby puttest able wooed cherished unity starry insubstantial stained lack learned giftthese enchantment respite belong earnest,0.5,0.1299,0.1041,GRU Attention
"O tell me where art thou, Muse, seeing that thou forgetest us all so long?","Where art thou Muse that thou forgetest so long,",if spend miles speed fame counterpart region apart altered destination frequent melancholy oft can shameless practice consider autumn stand tyrannous although society solitary deceit stay cheated truly hammered perceiveth transgression,0.8,0.2948,0.0881,GRU Attention
"Though I must die to all the world once I am gone, yet shall my memory persist;","Though I, once gone, to all the world must die:",if spend miles speed fame seem transformed responsibility muse recount sing discourse unless piercing recompense touch could blow therein overread boast departing wolf fashion better grand audacity friend proper force,1.0,0.1798,0.0908,GRU Attention
"Shall the worms, inheritors as they are of this excess most foul, lay claim to thy mortal form?","Shall worms, inheritors of this excess,",if spend restraining plainly pretense conjoined discovered living dwellsthat surely utterance mans chide muse instrument proudpied dulness curse fear darkness spite forsooth thy deceive sanctuary more drained stoln corrupted scanted,0.8,0.2653,0.102,GRU Attention
"From the stars do I not pluck my judgement, for it springeth from within my own soul.",Not from the stars do I my judgement pluck;,if spend restraining plainly satisfied razed truly voice blessing tremble see outlive obtained undoing shame sorrowfully breast ruin linger month pass deny fortunes feeding grown contend weight leap region earth,1.0,0.3069,0.0965,GRU Attention
The worser spirit hath a woman coloured most ill and foul.,The worser spirit a woman coloured ill.,woman body gently observe otherwise perplex come shameful loving glazed face deep earth flanks remembered argue adornments estimate open gaining whereby sorrows wishes sun memory race doing instead well extremes,0.2,0.337,0.0969,GRU Attention
"Shall worms become the inheritors of all this excess, and feast upon thy corrupted flesh?","Shall worms, inheritors of this excess,",if spend miles speed urgency falsehood defying foreign vows on stubborn destitute answered confessi visit thisif reduce respite perusal bent clay remembered answer taking adornments estimate open gaining whereby drives,0.6,0.2625,0.0998,GRU Attention
"Make some vial sweet, I prithee, and let treasure be kept in some place thou dost guard.",Make sweet some vial; treasure thou some place,woman body gently observe deception alike truly reduce splendor tiresome obscurity covered vows on fro would proudpied abuse splendid clearly tract issued audit right jawspluck anew exposed clean presumptuous remembered,0.4,0.2419,0.0939,GRU Attention
"Let us release those whom nature hath not made for store, for they shall never fulfill what was not given them at birth.","Let those whom nature hath not made for store,",woman body gently observe begone unwooed taken eclipses desires receivest thing conquest slower minds descriptions belong yea doubting hounds hereby cheated craft surely utterance unmoved fate distant reckless praised to,0.3,0.2787,0.1039,GRU Attention
