input,target,output,MA,SP,G
"See thy blood warm, I prithee, and yet when thou feelest it to be cold.",And see thy blood warm when thou feelest it cold.,see thy blood warm prithee i and yet when thou feelest it to be cold,1.0,0.9892,0.1501
"When thou feelest thy blood turning cold, and see how warm it doth remain.",And see thy blood warm when thou feelest it cold.,when feelest thou thy turning blood and cold see how warm it doth remain,1.0,0.9466,0.1408
"If now thou dost not renewest the fresh repair of what is thine, whose beauty shall decay","Whose fresh repair if now thou not renewest,",if now thou dost renewest not the fresh repair of what is thine whose beauty shall decay,1.0,0.996,0.1506
"Whose fresh repair, if thou renewest it not now, shall surely perish and be lost to time","Whose fresh repair if now thou not renewest,",whose fresh repair if thou renewest it not now shall surely perish and be lost to time,1.0,1.0,0.1596
"If now thou not renewest what is thy fresh repair, whose glory shall fade and wither away","Whose fresh repair if now thou not renewest,",if now thou not renewest what is thy fresh repair whose glory shall fade and wither away,1.0,1.0,0.1433
"Thou dost beguile the world, and thereby unbless some mother of her rightful joy.","Thou dost beguile the world, unbless some mother.",the thou and dost beguile unbless world some thereby mother of her rightful joy,1.0,0.9606,0.1198
Some mother dost thou unbless whilst thou beguile the world with thy false arts.,"Thou dost beguile the world, unbless some mother.",some mother dost unbless thou whilst thou beguile the world with thy false arts,1.0,0.996,0.1367
By thy deceptions dost thou beguile the world and unbless some mother most cruelly.,"Thou dost beguile the world, unbless some mother.",by thy deceptions dost the thou beguile world and unbless some mother most cruelly,1.0,0.9881,0.1388
Or who is he so fond that he will be the tomb?,"Or who is he so fond will be the tomb,",or who is he so fond that he will be the tomb,1.0,1.0,0.17
Or who is he that will be so fond as to be the tomb?,"Or who is he so fond will be the tomb,",or who is he that will be so fond as to be the tomb,1.0,1.0,0.1729
"Or who is he so fond of being the tomb, that he will be it?","Or who is he so fond will be the tomb,",or who is he so being fond the of tomb that he will be it,1.0,0.9875,0.1373
Of his self-love doth he wish to stop posterity?,Of his self-love to stop posterity?,of his selflove doth he wish to stop posterity,1.0,1.0,0.1368
"To stop posterity, his self-love—of what consequence is it?",Of his self-love to stop posterity?,to stop posterity selfloveof his what consequence is it,0.9,0.9774,0.105
"His self-love, whereby he doth of posterity seek to stop the course?",Of his self-love to stop posterity?,selflove his whereby he doth of seek posterity to stop the course,1.0,0.9493,0.1347
"Despite the wrinkles that doth mar thy countenance, this golden time of thine remaineth precious beyond measure.",Despite of wrinkles this thy golden time.,despite the wrinkles that doth mar thy countenance this golden time of thine remaineth precious beyond measure,1.0,1.0,0.1481
"This golden time of thine shall endure, despite of all the wrinkles that age may cruelly bestow upon thy form.",Despite of wrinkles this thy golden time.,this golden time of thine endure despite shall of all the wrinkles that age may cruelly bestow upon thy form,1.0,0.9935,0.1535
"Despise not the wrinkles that come upon thee, for this thy golden time doth shine with splendour despite of such blemishes.",Despite of wrinkles this thy golden time.,despise the wrinkles not that come upon thee for this thy golden time doth shine with splendour despite of such blemishes,1.0,0.9975,0.1642
Doth thy beauty's legacy rest upon thyself alone?,Upon thyself thy beauty's legacy?,doth thy beautys legacy upon rest thyself alone,0.9,0.9898,0.1088
Upon thyself art thou bearing thy beauty's most precious legacy?,Upon thyself thy beauty's legacy?,upon art bearing thou beautys thy most thyself precious legacy,1.0,0.9831,0.1045
Thy beauty's legacy—upon thyself it doth remain and shine forevermore.,Upon thyself thy beauty's legacy?,beautys thy legacyupon it and doth remain shine thyself forevermore,1.0,0.9601,0.1206
"Thou profitless usurer, why dost thou use such vile practices upon thy fellow men?","Profitless usurer, why dost thou use",profitless thou usurer why dost thou use such vile practices upon thy fellow men,1.0,0.9816,0.1529
"Why dost thou use thy talents for profit, thou most useless and profitless usurer?","Profitless usurer, why dost thou use",why dost thou use thy talents profit for thou most useless and profitless usurer,1.0,0.9919,0.1435
"O profitless usurer, pray tell me—why dost thou use thy cunning in such barren ventures?","Profitless usurer, why dost thou use",profitless o usurer pray mewhy tell dost thou use thy cunning in such barren ventures,1.0,0.9915,0.1168
"Art thou possessed of so great a sum of sums, and yet canst thou not live thereby?","So great a sum of sums, yet canst not live?",art thou possessed of so a great sum of sums and yet canst thou not live thereby,1.0,0.995,0.1664
"Thou hast so great a sum of sums, and yet canst not live—how is this possible?","So great a sum of sums, yet canst not live?",thou hast so great a sum of sums and yet canst not livehow is this possible,1.0,1.0,0.1544
"So great a sum of sums doth thou command, yet still canst not live upon such wealth?","So great a sum of sums, yet canst not live?",so great a sum of sums doth thou command yet still canst not live upon such wealth,1.0,1.0,0.1545
"Thou dost deceive thy sweet self of thyself, through thine own deception.",Thou of thyself thy sweet self dost deceive:,thou dost deceive thy sweet self of through thyself thine own deception,1.0,0.9974,0.1392
"Of thyself alone dost thou deceive thy sweet self, being the architect of thine own ruin.",Thou of thyself thy sweet self dost deceive:,alone of dost deceive thou thy sweet thyself self being the architect of thine own ruin,1.0,0.957,0.1399
"Thy sweet self thou dost deceive, of thyself through willful falsehood and self-wrought illusion.",Thou of thyself thy sweet self dost deceive:,thy sweet self thou deceive dost of through thyself willful falsehood and selfwrought illusion,1.0,0.9951,0.1272
"Make sweet some vial, and treasure thou some place most dear wherein to keep it.",Make sweet some vial; treasure thou some place,make vial sweet and treasure some thou some place most dear wherein to keep it,1.0,0.9769,0.1227
"Thou shalt make sweet some vial, and treasure it within some place of thy choosing.",Make sweet some vial; treasure thou some place,thou shalt make vial sweet and treasure some it within some place of thy choosing,1.0,0.9869,0.1408
"Make some vial sweet, I prithee, and let treasure be kept in some place thou dost guard.",Make sweet some vial; treasure thou some place,make vial some prithee sweet and i let treasure be kept in some place thou dost guard,1.0,0.9892,0.1342
That use which is not forbidden doth remain usury most lawful.,"That use is not forbidden usury,",that use which is not doth remain most forbidden usury lawful,1.0,0.9846,0.1255
"Usury, when it is not forbidden, that use shall be deemed acceptable.","That use is not forbidden usury,",when it is not that use shall be deemed usury forbidden acceptable,1.0,0.9686,0.1542
"That use of lending, being not forbidden, is no usury in the sight of the law.","That use is not forbidden usury,",that use of lending being not is forbidden no usury in the sight of the law,1.0,0.9922,0.1504
Which happies those that do pay the willing loan with grateful hearts and ready hands;,Which happies those that pay the willing loan;,happies which those that do pay the willing loan with grateful hearts and ready hands,1.0,0.9669,0.1352
"Those that pay the willing loan are happies, which doth reward the generous and the true;",Which happies those that pay the willing loan;,those that the willing pay loan are happies which doth reward the generous and the true,1.0,0.9841,0.1369
"Which happies those poor souls that pay the willing loan, securing favour and good fortune;",Which happies those that pay the willing loan;,happies which those poor souls that the willing pay loan securing favour and good fortune,1.0,0.951,0.1291
"Lo! when the gracious light doth rise in the orient, behold its splendour.",Lo! in the orient when the gracious light,lo when the gracious light in doth the rise orient behold its splendour,1.0,0.9611,0.1237
"In the orient, lo! the gracious light doth break forth when morning comes.",Lo! in the orient when the gracious light,in orient the lo the gracious light doth break forth when morning comes,1.0,0.9647,0.1233
"When in the orient the gracious light appeareth, lo! what radiance it bringeth.",Lo! in the orient when the gracious light,in when the orient the gracious light appeareth lo what radiance it bringeth,1.0,0.9941,0.1321
"Yet still do mortal looks adore his beauty evermore, with unwavering devotion.","Yet mortal looks adore his beauty still,",yet still do mortal looks adore his beauty evermore with unwavering devotion,1.0,1.0,0.1352
"His beauty doth remain the object which mortal looks adore, and yet they gaze still.","Yet mortal looks adore his beauty still,",his beauty doth remain the object which mortal looks adore and yet they gaze still,1.0,1.0,0.1321
"And yet, though mortal looks adore his beauty ever constant, it endureth still.","Yet mortal looks adore his beauty still,",and yet though mortal looks adore his beauty ever constant it endureth still,1.0,1.0,0.1118
"From his low tract thou must avert thy gaze and look another way, I prithee.","From his low tract, and look another way:",from his low tract thou must avert thy gaze and look another way i prithee,1.0,1.0,0.1322
"Look thee another way, I say, and turn from his low tract most carefully.","From his low tract, and look another way:",look thee another way i say and turn from his low tract most carefully,1.0,1.0,0.1212
Thou shalt from his low tract remove thyself and look another way forthwith.,"From his low tract, and look another way:",thou shalt from his low tract remove and thyself look another way forthwith,1.0,0.9783,0.1305
"So thou, that dost thyself outgoing in thy noon, art carried forth beyond measure.","So thou, thyself outgoing in thy noon:",so thou that dost in thy noon carried thyself outgoing art forth beyond measure,1.0,0.9719,0.1262
"Thou thyself, in thy noon, dost go outgoing, and so art thou spent beyond thy time.","So thou, thyself outgoing in thy noon:",in thou thy noon dost go and so art thyself outgoing thou spent beyond thy time,1.0,0.9713,0.1354
"So is it, thyself outgoing in thy noon, that thou dost pass beyond thy proper season.","So thou, thyself outgoing in thy noon:",so is in it thy noon that thou dost thyself outgoing pass beyond thy proper season,1.0,0.9584,0.1413
Or dost thou else receivest with pleasure that which is thine annoy?,Or else receivest with pleasure thine annoy?,or dost thou else receivest pleasure with that which is thine annoy,1.0,0.9855,0.1537
Or else receivest thou with such pleasure thine own annoy?,Or else receivest with pleasure thine annoy?,or else receivest thou with pleasure such thine own annoy,1.0,0.9957,0.1426
"Receivest thou else, with pleasure, thine annoy, or dost thou not?",Or else receivest with pleasure thine annoy?,receivest thou else pleasure with annoy thine or dost thou not,1.0,0.979,0.1403
When every private widow well may keep her own estate and substance without want or hindrance,When every private widow well may keep,when private widow well may keep her every own estate and substance without want or hindrance,1.0,0.9845,0.1332
When each and every widow of private station well may keep whatsoever doth belong to her,When every private widow well may keep,when each and widow private station every of well may keep whatsoever doth belong to her,1.0,0.9836,0.119
"When every widow, being private in her condition, well may keep and maintain all that is hers",When every private widow well may keep,in widow being private when her every condition well may keep and maintain all that is hers,1.0,0.9595,0.1323
For shame upon thee! Deny that thou bearest love to any creature beneath the heavens.,"For shame! deny that thou bearest love to any,",for shame upon deny thee that thou bearest love to any creature beneath the heavens,1.0,0.9949,0.1466
"Fie, for very shame! That thou bearest love to any soul, I do beseech thee to deny it utterly.","For shame! deny that thou bearest love to any,",fie very for shame that thou bearest love to any soul i do beseech thee to deny it utterly,1.0,0.9954,0.1565
"For shame, I say! Deny forthwith that thou bearest any love to whosoever or to any mortal being.","For shame! deny that thou bearest love to any,",for shame i say deny that bearest forthwith thou any love to whosoever or to any mortal being,1.0,0.9796,0.1451
"Grant, I beseech thee, if thou wilt consent unto it, that thou art beloved of many a soul throughout the land.","Grant, if thou wilt, thou art beloved of many,",grant i beseech thee if thou wilt consent unto it that thou art beloved of many a soul throughout the land,1.0,1.0,0.1885
"If thou wilt but grant me this truth, then surely thou art beloved of many, and this cannot be denied.","Grant, if thou wilt, thou art beloved of many,",if thou wilt but grant me this truth then surely thou art beloved of many and this cannot be denied,1.0,1.0,0.1799
"Thou art beloved of many, grant me this—if thou wilt acknowledge it, then let it be so.","Grant, if thou wilt, thou art beloved of many,",thou art beloved of many grant thisif me thou wilt acknowledge it then let it be so,1.0,0.9915,0.1428
"For thou art so possessed with murderous hate, that thine every thought doth turn to blood and vengeance.","For thou art so possessed with murderous hate,",for thou art so possessed with hate that murderous thine every thought doth turn to blood and vengeance,1.0,0.9969,0.1712
"Thou art possessed so thoroughly with murderous hate, for thy soul hath been consumed by this darkest passion.","For thou art so possessed with murderous hate,",thou art possessed so with hate for thy thoroughly murderous soul hath been consumed by this darkest passion,1.0,0.9947,0.1273
"For so possessed art thou with murderous hate, that no mercy shall ever dwell within thy corrupted breast.","For thou art so possessed with murderous hate,",for so possessed art thou with hate that murderous no mercy shall ever dwell within thy corrupted breast,1.0,0.9969,0.1268
Shall hate be fairer lodged than gentle love doth find its dwelling place?,Shall hate be fairer lodged than gentle love?,shall hate be fairer lodged than gentle love doth find its dwelling place,1.0,1.0,0.1309
"Shall hate be fairer lodged within the heart than gentle love, that most benevolent of passions?",Shall hate be fairer lodged than gentle love?,shall hate be fairer lodged within the heart than gentle love that most benevolent of passions,1.0,1.0,0.1303
"Shall hate, that vile corruption, be fairer lodged than gentle love, which is most pure and virtuous?",Shall hate be fairer lodged than gentle love?,shall hate that vile corruption fairer be lodged than gentle love which is most pure and virtuous,1.0,0.9909,0.1372
"Make thee another self, I do beseech thee, for the love of me, thy most devoted servant.","Make thee another self for love of me,",make thee another self i do beseech thee for the love of me thy most devoted servant,1.0,1.0,0.1784
"For love of me, I pray thee make thyself another self, that thou might'st be two in spirit.","Make thee another self for love of me,",for love of me i pray thee make another thyself self that thou mightst be two in spirit,1.0,0.9962,0.1614
"Make another self of thee, I do entreat, for love of me and all the tender affection I bear thee.","Make thee another self for love of me,",another make self of thee i entreat do for love of me and all the tender affection i bear thee,1.0,0.9739,0.1533
"As fast as thou shalt wane in thy declining years, even so fast dost thou growest in the spring of thy youth.","As fast as thou shalt wane, so fast thou growest,",as fast as thou shalt wane in thy declining years even so fast dost thou growest in the spring of thy youth,1.0,1.0,0.1791
"So fast thou growest in thy vigor, and yet as fast shalt thou wane when time doth claim thee for its own.","As fast as thou shalt wane, so fast thou growest,",so growest fast in vigor thou and thy yet as fast shalt thou wane when time doth claim thee for its own,1.0,0.9809,0.1506
"For as fast as thou shalt wane when age doth steal upon thee, so fast thou growest now in the lusty days of thy prime.","As fast as thou shalt wane, so fast thou growest,",for as fast as thou shalt wane when age doth steal upon thee so fast thou growest now in the lusty days of thy prime,1.0,1.0,0.1636
"Without this folly, doth age and cold decay come upon thee.","Without this folly, age, and cold decay:",without this folly doth and age decay cold come upon thee,1.0,0.9843,0.1266
"Age and cold decay shall surely come, unless thou dost embrace this folly without restraint.","Without this folly, age, and cold decay:",and age decay cold surely shall unless come thou dost embrace this folly without restraint,1.0,0.9736,0.1104
This folly doth protect thee from age and the cold decay that cometh to all men without it.,"Without this folly, age, and cold decay:",this folly doth protect thee from and age the cold decay that cometh to all men without it,1.0,0.9936,0.1481
Let those whom nature hath not made for store abandon their vain pretensions and accept their fate.,"Let those whom nature hath not made for store,",let those whom nature hath not made for store abandon their vain pretensions and accept their fate,1.0,1.0,0.1507
"Those whom nature hath not made for store — let them depart, I say, for they were never fashioned by her hand for such purpose.","Let those whom nature hath not made for store,",those nature whom hath not made for store let them depart i say for they were never fashioned by her hand for such purpose,1.0,0.9818,0.1404
"Let us release those whom nature hath not made for store, for they shall never fulfill what was not given them at birth.","Let those whom nature hath not made for store,",let us release those nature whom hath not made for store for they shall never fulfill what was not given them at birth,1.0,0.9629,0.1434
"When I do count the clock that tells the time, methinks upon the passing hours most dear.","When I do count the clock that tells the time,",when i do count the clock that tells the time methinks upon the passing hours most dear,1.0,1.0,0.1391
"When I do count the clock that tells the time, what melancholy doth possess my soul.","When I do count the clock that tells the time,",when i do count the clock that tells the time what melancholy doth possess my soul,1.0,1.0,0.148
"When I do count the clock that tells the time, I am most grievously reminded of mortality.","When I do count the clock that tells the time,",when i do count the clock that tells the time i am most grievously reminded of mortality,1.0,1.0,0.155
"Which did erst canopy the herd from heat, as a protective shelter doth.","Which erst from heat did canopy the herd,",erst which the did herd from heat as a canopy protective shelter doth,1.0,0.9302,0.1114
From heat did that which erst canopy the herd with sheltering boughs.,"Which erst from heat did canopy the herd,",from heat did that erst which the herd with canopy sheltering boughs,1.0,0.9888,0.1176
"The herd, which erst did find canopy from heat, now lacks such protection.","Which erst from heat did canopy the herd,",the herd erst which did find from heat now canopy lacks such protection,1.0,0.9834,0.0993
"Then do I make a question of thy beauty, seeking to understand its nature.","Then of thy beauty do I question make,",then do i make a question of thy beauty seeking to understand its nature,1.0,1.0,0.1541
"Then of thy beauty do I make question, pondering its worth and excellence.","Then of thy beauty do I question make,",then of thy beauty do i question make pondering its worth and excellence,1.0,0.9879,0.1297
"Then do I question make of thy beauty, doubting whether such perfection can be real.","Then of thy beauty do I question make,",then do i question make of beauty thy doubting whether such perfection can be real,1.0,0.9864,0.1335
"That thou must go among the wastes of time, as all things mortal do.","That thou among the wastes of time must go,",that thou must go among the wastes of time as all things mortal do,1.0,1.0,0.1483
"Among the wastes of time must thou go, for such is the decree that all flesh shall wander.","That thou among the wastes of time must go,",among the wastes of time must thou go for such is the decree that all flesh shall wander,1.0,1.0,0.1574
"Thou shalt go among the wastes of time, that inexorable journey which all must undertake.","That thou among the wastes of time must go,",thou shalt the go among wastes of time that inexorable journey which all must undertake,1.0,0.9858,0.1327
"Not from the stars do I my judgement pluck, but rather from mine own discernment and reason.",Not from the stars do I my judgement pluck;,not from the stars do i my judgement pluck but rather from mine own discernment and reason,1.0,1.0,0.1375
"From the stars do I not pluck my judgement, for it springeth from within my own soul.",Not from the stars do I my judgement pluck;,the from stars do i not pluck judgement my for it springeth from within my own soul,1.0,0.9718,0.129
"My judgement do I not pluck from the stars, but it ariseth from the depths of mine own understanding.",Not from the stars do I my judgement pluck;,my judgement do i not pluck from the stars but it ariseth from the depths of mine own understanding,1.0,1.0,0.1554
"And yet, methinks I have studied well the astronomy of the heavens above.","And yet methinks I have astronomy,",and yet methinks i have studied well astronomy the of the heavens above,1.0,0.995,0.1259
"Methinks, and yet I have some knowledge of astronomy, forsooth.","And yet methinks I have astronomy,",methinks yet and i have knowledge some astronomy of forsooth,1.0,0.8396,0.1341
And yet I do confess that methinks I have astronomy within my learned breast.,"And yet methinks I have astronomy,",and yet i do confess methinks that i have astronomy within my learned breast,1.0,0.9961,0.1348
"And in them do I read such art as constant stars do hold, wherein their constancy doth shine with artful light eternal.",And constant stars in them I read such art,and them in do i read such art as constant stars do hold wherein their constancy doth shine with artful light eternal,1.0,0.9872,0.1317
"In them I read such constant art as stars do bear, and there discover I the starry constant wisdom writ in heavenly characters.",And constant stars in them I read such art,in them i read such constant art as stars do bear and there discover i the starry constant wisdom writ in heavenly characters,1.0,1.0,0.1201
"Such art do I read and find constant within them, even as the stars hold constant their celestial art in the vault of night.",And constant stars in them I read such art,such art do i and read within find constant them even as the stars hold constant their celestial art in the vault of night,1.0,0.9829,0.1268
"Whereon the stars do in secret influence comment, most mysteriously upon thy fate;",Whereon the stars in secret influence comment;,whereon stars the do in secret comment influence most mysteriously upon thy fate,1.0,0.9039,0.0956
The stars in secret influence do comment and speak upon that whereon all things depend;,Whereon the stars in secret influence comment;,the stars in secret comment do and influence speak upon that whereon all things depend,1.0,0.9723,0.1176
In secret influence the stars do comment upon whereon the very heavens turn their gaze;,Whereon the stars in secret influence comment;,in secret stars upon the comment influence do whereon the very heavens turn their gaze,1.0,0.9624,0.1147
"In their youthful sap do they vaunt most proudly, yet at the height of their glory shall they surely decrease.","Vaunt in their youthful sap, at height decrease,",in youthful their sap do vaunt they most proudly yet at the height of their glory shall they surely decrease,1.0,0.9772,0.1339
"At the height of their days, when youthful sap doth flow abundant, men vaunt themselves—but lo, they decrease in time.","Vaunt in their youthful sap, at height decrease,",the at height of their days when youthful sap doth flow abundant men vaunt themselvesbut lo they decrease in time,1.0,0.9925,0.1254
"They vaunt themselves whilst youthful sap remaineth in their limbs, yet at their height the decrease doth commence.","Vaunt in their youthful sap, at height decrease,",vaunt they themselves whilst youthful sap remaineth in their limbs yet at their height the decrease doth commence,1.0,0.9914,0.1228
Then doth the conceit of this inconstant stay possess thy troubled mind,Then the conceit of this inconstant stay,then doth conceit the of inconstant this possess stay thy troubled mind,1.0,0.9701,0.1232
"The conceit of this inconstant stay, then, doth vex thee with its fleeting nature",Then the conceit of this inconstant stay,conceit the of inconstant this stay then doth vex thee with its fleeting nature,1.0,0.9685,0.1308
Then shall the conceit of this most inconstant stay torment thy weary soul,Then the conceit of this inconstant stay,then shall conceit the of this most inconstant stay torment thy weary soul,1.0,0.9931,0.1228
"Which this thing, Time's pencil, or my pupil pen doth mark upon the page?","Which this, Time's pencil, or my pupil pen,",which this thing pencil times or pupil my pen doth mark upon the page,1.0,0.9856,0.1196
"This which Time's pencil hath drawn, or which my pupil pen doth write—which is it?","Which this, Time's pencil, or my pupil pen,",this which times pencil hath drawn or which my pupil pen doth writewhich is it,1.0,1.0,0.1282
"Which shall it be—this work of Time's pencil, or that which my pupil pen hath wrought?","Which this, Time's pencil, or my pupil pen,",which shall bethis it work of times pencil or that which my pupil pen hath wrought,1.0,0.9854,0.1205
And the stretched metre of an antique song doth reach across the ages,And stretched metre of an antique song:,and stretched the metre of antique an song doth reach across the ages,1.0,0.9861,0.1142
"The metre, stretched and ancient, of an antique song doth speak to thee",And stretched metre of an antique song:,the metre stretched and ancient of antique an song doth speak to thee,1.0,0.998,0.1123
And there the stretched and stately metre of an antique song doth linger still,And stretched metre of an antique song:,and there the stretched and stately metre of an antique song doth linger still,1.0,1.0,0.1373
Thou art a creature far more lovely and exceeding temperate in all thy qualities.,Thou art more lovely and more temperate:,thou art a creature lovely far and more exceeding temperate in all thy qualities,1.0,0.9892,0.1256
"More lovely dost thou appear, and more temperate art thou than any other being.",Thou art more lovely and more temperate:,more lovely dost and thou appear more temperate art thou than any other being,1.0,0.9798,0.1472
"Thou, in thy person, art more lovely than words can express, and withal more temperate in thy nature.",Thou art more lovely and more temperate:,in thou thy person art more lovely than words can express and withal more temperate in thy nature,1.0,0.9894,0.1653
"So long as men do breathe, or eyes can see the light of day, shall it endure.","So long as men can breathe, or eyes can see,",so long as men do breathe or eyes can see the light of day shall it endure,1.0,1.0,0.1602
"For so long as men can yet breathe the air, or eyes can see what lies before them, it shall remain.","So long as men can breathe, or eyes can see,",for so long as men can yet breathe the air or eyes can see what lies before them it shall remain,1.0,1.0,0.1826
"So long as mortal men can breathe, or human eyes can see aught whatsoever, so long shall it persist.","So long as men can breathe, or eyes can see,",so long as mortal men can breathe or human eyes can see aught whatsoever so long shall it persist,1.0,1.0,0.1605
Pluck thou the keen teeth from out the fierce tiger's jaws with thine own hands.,"Pluck the keen teeth from the fierce tiger's jaws,",pluck thou the keen teeth from the out fierce tigers jaws with thine own hands,1.0,0.9987,0.1364
"From the fierce tiger's jaws, pluck away the keen teeth that doth lie there.","Pluck the keen teeth from the fierce tiger's jaws,",the from fierce tigers jaws the pluck away keen teeth that doth lie there,1.0,0.9814,0.1281
"The keen teeth from the fierce tiger's jaws—pluck them forth, I say.","Pluck the keen teeth from the fierce tiger's jaws,",the keen teeth from the tigers fierce jawspluck them forth i say,1.0,0.9938,0.1096
"And burn the long-lived phoenix, consuming her in her own blood;","And burn the long-lived phoenix, in her blood;",and burn the her longlived phoenix her consuming in own blood,1.0,0.9924,0.1182
"And in her blood the long-lived phoenix shall burn, that creature ancient;","And burn the long-lived phoenix, in her blood;",and her in blood the shall longlived phoenix burn that creature ancient,1.0,0.9815,0.1085
"Burn thou the long-lived phoenix, I say, and let her perish in her blood;","And burn the long-lived phoenix, in her blood;",the burn longlived phoenix thou i say and let her perish in her blood,1.0,0.9533,0.1293
"Thou dost make the glad and sorry seasons as thou fleets through the turning year, transforming all with thy swift passage.","Make glad and sorry seasons as thou fleets,",thou dost the make and sorry seasons glad as thou fleets through the turning year transforming all with thy swift passage,1.0,0.9762,0.1127
"As thou fleets away, make both the glad seasons and the sorry seasons bend unto thy will, shaping joy and sorrow alike.","Make glad and sorry seasons as thou fleets,",as thou away fleets make the both glad seasons and the sorry seasons bend unto thy will shaping joy and sorrow alike,1.0,0.9782,0.1238
Make the seasons—both glad and sorry—shift and change according as thou fleets upon thy swift and restless course.,"Make glad and sorry seasons as thou fleets,",the make seasonsboth glad and change sorryshift as according and thou fleets upon thy swift and restless course,1.0,0.9579,0.102
"O, I beseech thee, carve not with thy hours upon my love's fair brow, that visage most beauteous!","O! carve not with thy hours my love's fair brow,",o i beseech thee carve not with thy hours upon my loves fair brow that visage most beauteous,1.0,1.0,0.1367
"O! with thy hours, carve not, I pray, the marks of time upon my fair love's brow, so comely and serene.","O! carve not with thy hours my love's fair brow,",o with thy hours carve not i the pray marks of time upon my fair loves brow so comely and serene,1.0,0.9859,0.1243
"O, do not carve upon my love's fair brow with thy relentless hours, I do entreat thee most earnestly!","O! carve not with thy hours my love's fair brow,",o do not carve upon my loves fair brow with thy relentless hours i do entreat thee most earnestly,1.0,1.0,0.1327
Hast thou become the master and mistress both of all my passion?,"Hast thou, the master mistress of my passion;",the master hast and mistress thou become both of all my passion,1.0,0.9611,0.1224
"Thou art the master, yea the very mistress of my passion, hast thou not?","Hast thou, the master mistress of my passion;",thou art the master yea the very mistress of my passion hast thou not,1.0,1.0,0.1444
The master and mistress of my passion—hast thou not proven thyself to be such?,"Hast thou, the master mistress of my passion;",the master of and mistress my passionhast thou not proven thyself to be such,1.0,0.992,0.1399
"For a woman wert thou first created, and for no other purpose didst the heavens ordain thy being.",And for a woman wert thou first created;,a woman for wert thou created first and for no other purpose didst the heavens ordain thy being,1.0,0.9613,0.1544
"And in the beginning, for a woman wert thou first created, as was the divine intention made manifest.",And for a woman wert thou first created;,and for in wert the thou beginning woman a first created as was the divine intention made manifest,1.0,0.9789,0.1287
"Thou wert first created for a woman, and for her sake alone didst nature fashion thee in the primordial age.",And for a woman wert thou first created;,thou wert created first a woman for and for her sake alone didst nature fashion thee in the primordial age,1.0,0.9898,0.1393
"Let mine own heart be forever thy love, and let the use of thy love's sweetness be their most precious treasure.",Mine be thy love and thy love's use their treasure.,let mine own heart forever be thy love and let the use of thy loves sweetness be their most precious treasure,1.0,0.9974,0.1404
